X,Y,cod_icao,nm_municip,tipoaero,nome,largura_m,num_pista,uf,altitude,extensao,cod_uso,pavimento,geocodigo,tipo_info,icon_url
-62.8255555572539,-10.178055556487,SWNI,Ariquemes,Nacional,Nova Vida,50.00000000000,"1",RO,125.00000000000,950.00000000000,PUB,terra,1100023.00000000000,tipo_info,./0.png
-61.088888890729,-11.1822222232665,SJHJ,Cacoal,Nacional,Fazenda Remanso,25.00000000000,"1",RO,253.00000000000,950.00000000000,PRIV,cascalho,1100049.00000000000,tipo_info,./1.png
-61.2983333350787,-12.8861111119618,SWXC,Corumbiara,Nacional,Fazenda Tropical,18.00000000000,"1",RO,299.00000000000,1100.00000000000,PRIV,asfalto ou concreto Asfáltico,1100072.00000000000,tipo_info,./1.png
-61.1811111129219,-11.6416666676553,SWPM,Pimenta Bueno,Nacional,Pimenta Bueno,20.00000000000,"1",RO,208.00000000000,1300.00000000000,PUB,asfalto ou concreto Asfáltico,1100189.00000000000,tipo_info,./0.png
-60.0936111129892,-12.7016666676827,SBVH,Vilhena,Nacional,Vilhena,30.00000000000,"1",RO,615.00000000000,2600.00000000000,PUB,asfalto ou concreto Asfáltico,1100304.00000000000,tipo_info,./0.png
-68.0072222233168,-9.78861111145943,SWVE,Bujari,Nacional,Fazenda Vista Alegre,18.00000000000,"1",AC,203.00000000000,600.00000000000,PRIV,grama,1200138.00000000000,tipo_info,./1.png
-70.3340464833157,-8.17726362361935,SWFJ,Feijó,Nacional,Feijó,20.00000000000,"1",AC,120.00000000000,940.00000000000,PUB,asfalto ou concreto Asfáltico,1200302.00000000000,tipo_info,./0.png
-69.2119444453651,-10.1041666668399,SWSX,Sena Madureira,Nacional,Seringal Nova Olinda,30.00000000000,"1",AC,205.00000000000,900.00000000000,PRIV,argila,1200500.00000000000,tipo_info,./1.png
-70.7827777785852,-8.1547222223985,SBTK,Tarauacá,Nacional,Tarauacá,14.00000000000,"1",AC,197.00000000000,1130.00000000000,PUB,asfalto ou concreto Asfáltico,1200609.00000000000,tipo_info,./0.png
-68.5505555565375,-10.6336111113109,SWXU,Xapuri,Nacional,Xapuri,30.00000000000,"1",AC,150.00000000000,1018.00000000000,PUB,asfalto ou concreto Asfáltico,1200708.00000000000,tipo_info,./0.png
-72.8055555562409,-5.13027777800005,SWJV,Atalaia do Norte,Nacional,Palmeiras do Javari,30.00000000000,"1",AM,120.00000000000,1200.00000000000,PUB,asfalto ou concreto Asfáltico,1300201.00000000000,tipo_info,./0.png
-71.5655555564451,-4.5286111115318,SWEE,Atalaia do Norte,Nacional,Estirão do Equador,30.00000000000,"1",AM,30.00000000000,1200.00000000000,PUB,asfalto ou concreto Asfáltico,1300201.00000000000,tipo_info,./0.png
-59.6522222245413,-3.59361111294635,SIFN,Autazes,Nacional,Fazenda Planura,22.00000000000,"1",AM,57.00000000000,790.00000000000,PRIV,terra,1300300.00000000000,tipo_info,./1.png
-62.9194444465681,-0.98111111277376,SWBC,Barcelos,Nacional,Barcelos,30.00000000000,"1",AM,34.00000000000,1200.00000000000,PUB,asfalto ou concreto Asfáltico,1300409.00000000000,tipo_info,./0.png
-61.6172222244547,-1.46694444621193,SWOW,Barcelos,Nacional,Moura,30.00000000000,"1",AM,13.00000000000,1100.00000000000,PUB,piçarra,1300409.00000000000,tipo_info,./0.png
-57.0561111136901,-2.79611111327205,SWBI,Barreirinha,Nacional,Barreirinha,23.00000000000,"1",AM,21.00000000000,1200.00000000000,PUB,asfalto ou concreto Asfáltico,1300508.00000000000,tipo_info,./0.png
-67.3122222234525,-8.8336111116343,SWNK,Boca do Acre,Nacional,Novo Campo,33.00000000000,"1",AM,120.00000000000,1600.00000000000,PUB,asfalto ou concreto Asfáltico,1300706.00000000000,tipo_info,./0.png
-67.4458333345316,-9.14250000047787,SWKB,Boca do Acre,Nacional,Fazenda Campina,18.00000000000,"1",AM,213.00000000000,700.00000000000,PRIV,grama,1300706.00000000000,tipo_info,./1.png
-59.5977777800643,-4.40861111289564,SWBR,Borba,Nacional,Borba,30.00000000000,"1",AM,90.00000000000,1200.00000000000,PUB,asfalto ou concreto Asfáltico,1300805.00000000000,tipo_info,./0.png
-66.8955555570334,-4.8786111120391,SWCA,Carauari,Nacional,Carauari,18.00000000000,"1",AM,108.00000000000,1665.00000000000,PUB,asfalto ou concreto Asfáltico,1301001.00000000000,tipo_info,./0.png
-63.1311111130576,-4.13388889030313,SWKO,Coari,Nacional,Coari,36.00000000000,"1",AM,40.00000000000,1600.00000000000,PUB,asfalto ou concreto Asfáltico,1301209.00000000000,tipo_info,./0.png
-65.3563888905499,-4.88333333443677,SWUY,Coari,Nacional,Urucu,30.00000000000,"1",AM,64.00000000000,1320.00000000000,PUB REST,asfalto ou concreto Asfáltico,1301209.00000000000,tipo_info,./2.png
-69.8830555565625,-6.63750000042512,SWEI,Eirunepé,Nacional,Eirunepé,30.00000000000,"1",AM,126.00000000000,2300.00000000000,PUB,asfalto ou concreto Asfáltico,1301407.00000000000,tipo_info,./0.png
-66.0672222239175,-2.53361111232249,SWOB,Fonte Boa,Nacional,Fonte Boa,27.00000000000,"1",AM,63.00000000000,1270.00000000000,PUB,asfalto ou concreto Asfáltico,1301605.00000000000,tipo_info,./0.png
-63.05055555735,-7.53361111225604,SWHT,Humaitá,Nacional,Humaitá,30.00000000000,"1",AM,70.00000000000,1520.00000000000,PUB,asfalto ou concreto Asfáltico,1301704.00000000000,tipo_info,./0.png
